state,county,diff
Texas,Willacy ,-959
Mississippi,Humphreys ,-954
Wisconsin,Jackson ,-952
Mississippi,Wilkinson ,-948
Virginia,Williamsburg ,-947
Minnesota,Beltrami ,-932
Louisiana,East Baton Rouge ,-918
Montana,Glacier ,-911
Texas,Jim Wells ,-902
South Carolina,Jasper ,-901
Illinois,Macoupin ,-900
Montana,Big Horn ,-900
Texas,Dimmit ,-900
New York,Cayuga ,-898
Indiana,Perry ,-897
Iowa,Buchanan ,-892
Virginia,Fairfax City ,-889
Washington,Mason ,-885
Virginia,Martinsville ,-882
Alabama,Hale ,-873
New Mexico,Valencia ,-857
Montana,Deer Lodge ,-845
Iowa,Wapello ,-842
Arkansas,Crittenden ,-834
Wisconsin,Adams ,-832
Tennessee,Haywood ,-831
Wisconsin,Lincoln ,-824
Wisconsin,Lafayette ,-820
Wisconsin,Richland ,-816
Louisiana,Iberville ,-812
Illinois,Henry ,-794
South Dakota,Todd ,-793
Minnesota,Nicollet ,-789
Wisconsin,Pierce ,-789
Iowa,Fayette ,-787
Iowa,Floyd ,-787
New Mexico,Mora ,-784
New Hampshire,Carroll ,-777
Iowa,Jefferson ,-777
Michigan,Lenawee ,-773
Texas,Jefferson ,-770
Florida,Monroe ,-765
Virginia,Charles City ,-763
Georgia,Macon ,-760
North Carolina,Granville ,-755
Virginia,Montgomery ,-749
Illinois,Kankakee ,-737
New Mexico,Socorro ,-733
Michigan,Manistee ,-732
Iowa,Marshall ,-718
Mississippi,Yazoo ,-717
Mississippi,Quitman ,-716
Virginia,Manassas ,-715
Virginia,Caroline ,-712
Louisiana,St. James ,-711
Iowa,Clayton ,-707
Minnesota,Lake ,-704
South Carolina,Dillon ,-699
New Mexico,Cibola ,-693
Mississippi,Jeff Davis ,-687
South Dakota,Clay ,-687
Arkansas,Saint Francis ,-679
Virginia,Greensville ,-679
Montana,Lewis & Clark ,-678
New York,Cortland ,-665
Iowa,Webster ,-659
Wisconsin,Barron ,-659
Iowa,Chickasaw ,-647
North Carolina,Wilson ,-644
Wisconsin,Monroe ,-636
Alabama,Russell ,-636
California,Nevada ,-636
Washington,Pacific ,-624
Michigan,Gogebic ,-624
Virginia,Sussex ,-620
Missouri,Jefferson ,-615
Minnesota,Olmsted ,-608
Virginia,Franklin City ,-605
Indiana,Vanderburgh ,-598
Texas,Brooks ,-592
Iowa,Jasper ,-592
Texas,Val Verde ,-581
Mississippi,Tallahatchie ,-580
Iowa,Howard ,-580
Mississippi,Kemper ,-578
Wisconsin,Marinette ,-566
Missouri,Ste. Genevieve ,-566
Vermont,Grand Isle ,-566
Wisconsin,Menominee ,-533
Georgia,Jefferson ,-532
Virginia,Hopewell ,-528
Illinois,JoDaviess ,-526
North Carolina,Washington ,-524
Wisconsin,Kewaunee ,-523
Georgia,Talbot ,-521
Iowa,Bremer ,-513
Virginia,Northampton ,-512
Maine,Waldo ,-510
Texas,Zapata ,-506
North Dakota,Grand Forks ,-500
Illinois,Stephenson ,-493
North Carolina,Watauga ,-489
Louisiana,East Carroll ,-487
Iowa,Poweshiek ,-485
Iowa,Tama ,-481
Minnesota,Houston ,-480
Montana,Roosevelt ,-479
Maine,Somerset ,-478
Arkansas,Chicot ,-475
Louisiana,St. Helena ,-475
Ohio,Ottawa ,-473
Wisconsin,Price ,-471
South Carolina,Chester ,-470
Oregon,Tillamook ,-467
Illinois,Mercer ,-464
Michigan,Menominee ,-463
Virginia,Surry ,-463
Michigan,Delta ,-462
Mississippi,Sharkey ,-462
Wisconsin,Oconto ,-458
